model,fold,roc_auc,pr_auc,log_loss
Logistic Regression,1,0.8281063409144943,0.2822861437642874,0.5282080399078065
Logistic Regression,2,0.8019383936444735,0.2501600009527087,0.5350579496251636
Logistic Regression,3,0.8207978253636792,0.2808152526166944,0.5352587495301646
Logistic Regression,4,0.8151715506608168,0.26875600023732726,0.5324793434119526
Logistic Regression,5,0.8271806290375404,0.3031914827193668,0.5248034261518552
Random Forest,1,0.8269660259423767,0.2798982709978512,0.5014371959121486
Random Forest,2,0.8029028737280021,0.2581951472543833,0.5066245295038319
Random Forest,3,0.8192117163113277,0.27925274185122767,0.5074225481557663
Random Forest,4,0.8158927552245911,0.2734618808684243,0.5032153568808729
Random Forest,5,0.8237746682341571,0.28136869639826984,0.5002998652721368
Gradient Boosting,1,0.8303686494942291,0.28820680084805916,0.5197761834940053
Gradient Boosting,2,0.8056980908535167,0.2565577004705795,0.525100708804048
Gradient Boosting,3,0.8206935161241459,0.2865117738508035,0.5262967377692794
Gradient Boosting,4,0.8166708480527138,0.2745823544396301,0.5233002970283949
Gradient Boosting,5,0.8280686406608213,0.29808548873912555,0.5177894362279507
Gradient Boosting,mean,0.8202999490370854,0.28078882366963953,0.5224526726647356
Logistic Regression,mean,0.8186389479242008,0.2770417760580769,0.5311615017253886
Random Forest,mean,0.817749607888091,0.27443534747403125,0.5037998991449513
Gradient Boosting,std,0.00985229452792882,0.015910851316889806,0.0035852743037088266
Logistic Regression,std,0.010702615978179923,0.019473273930025226,0.004551222754022469
Random Forest,std,0.009317388207012459,0.009563130890616769,0.0031335449516285627
